April 16, 2021 	48.36M
April 15, 2021 	80.17M
April 14, 2021 	63.14M
April 13, 2021 	61.44M
April 12, 2021 	59.66M
April 11, 2021 	58.80M
April 10, 2021 	64.09M
April 09, 2021 	62.94M
April 08, 2021 	53.03M
April 07, 2021 	61.70M
April 06, 2021 	58.87M
April 05, 2021 	62.21M
April 04, 2021 	56.50M
April 03, 2021 	54.06M
April 02, 2021 	57.24M
April 01, 2021 	58.72M
March 31, 2021 	63.70M
March 30, 2021 	58.98M
March 29, 2021 	59.73M
March 28, 2021 	59.22M
March 27, 2021 	51.18M
March 26, 2021 	53.79M
March 25, 2021 	53.92M
March 24, 2021 	59.27M
March 23, 2021 	55.50M
March 22, 2021 	59.46M
March 21, 2021 	60.60M
March 20, 2021 	60.34M
March 19, 2021 	62.56M
March 18, 2021 	56.29M
March 17, 2021 	59.38M
March 16, 2021 	57.74M
March 15, 2021 	63.22M
March 14, 2021 	61.63M
March 13, 2021 	60.13M
March 12, 2021 	54.25M
March 11, 2021 	58.24M
March 10, 2021 	53.94M
March 09, 2021 	55.53M
March 08, 2021 	50.11M
March 07, 2021 	50.22M
March 06, 2021 	51.00M
March 05, 2021 	44.10M
March 04, 2021 	54.65M
March 03, 2021 	49.54M
March 02, 2021 	46.47M
March 01, 2021 	40.77M
February 28, 2021 	50.05M
February 27, 2021 	46.94M
February 26, 2021 	53.15M
February 25, 2021 	58.76M
February 24, 2021 	47.75M
February 23, 2021 	51.81M
February 22, 2021 	57.25M
February 21, 2021 	59.32M
February 20, 2021 	62.48M
February 19, 2021 	51.83M
February 18, 2021 	52.42M
February 17, 2021 	43.21M
February 16, 2021 	51.34M
February 15, 2021 	50.33M
February 14, 2021 	53.04M
February 13, 2021 	51.68M
February 12, 2021 	47.86M
February 11, 2021 	47.77M
February 10, 2021 	50.71M
February 09, 2021 	53.66M
February 08, 2021 	41.23M
February 07, 2021 	43.19M
February 06, 2021 	46.00M
February 05, 2021 	43.11M
February 04, 2021 	40.52M
February 03, 2021 	39.20M
February 02, 2021 	29.36M
February 01, 2021 	33.04M
January 31, 2021 	33.87M
January 30, 2021 	38.39M
January 29, 2021 	33.19M
January 28, 2021 	29.58M
January 27, 2021 	35.40M
January 26, 2021 	31.48M
January 25, 2021 	29.93M
January 24, 2021 	33.66M
January 23, 2021 	32.89M
January 22, 2021 	28.57M
January 21, 2021 	34.67M
January 20, 2021 	36.87M
January 19, 2021 	36.49M
January 18, 2021 	31.96M
January 17, 2021 	36.30M
January 16, 2021 	41.07M
January 15, 2021 	41.55M
January 14, 2021 	40.94M
January 13, 2021 	37.04M
January 12, 2021 	39.08M
January 11, 2021 	41.24M
January 10, 2021 	39.32M
January 09, 2021 	43.27M
January 08, 2021 	46.31M
January 07, 2021 	45.50M
January 06, 2021 	37.26M
January 05, 2021 	38.13M
January 04, 2021 	35.38M
January 03, 2021 	33.04M
January 02, 2021 	28.80M
January 01, 2021 	33.23M
December 31, 2020 	34.15M
December 30, 2020 	28.86M
December 29, 2020 	29.74M
December 28, 2020 	26.75M
